#detId FED harn
872427698 601 12
872427566 601 12
872427567 601 12
872427568 601 12
872427569 601 12
872427570 601 12
872424106 601 11
872424234 601 11
872423979 601 11
872424107 601 11
872424235 601 11
872424108 601 11
872424236 601 11
872423981 601 11
872424109 601 11
872424237 601 11
872423977 601 11
872424105 601 11
872424233 601 11
872423850 601 11
872423978 601 11
872423849 601 11
872423851 601 11
872423852 601 11
872423980 601 11
872423853 601 11
872423721 601 11
872423722 601 11
872423723 601 11
872423724 601 11
872423725 601 11
872424874 601 11
872424747 601 11
872424875 601 11
872424748 601 11
872424876 601 11
872424617 601 11
872424745 601 11
872424873 601 11
872424618 601 11
872424746 601 11
872424491 601 11
872424619 601 11
872424364 601 11
872424492 601 11
872424620 601 11
872424365 601 11
872424493 601 11
872424621 601 11
872424749 601 11
872424877 601 11
872424361 601 11
872424489 601 11
872424362 601 11
872424490 601 11
872424363 601 11
872425515 601 10
872425388 601 10
872425516 601 10
872425389 601 10
872425517 601 10
872425385 601 10
872425513 601 10
872425386 601 10
872425514 601 10
872425387 601 10
872425129 601 10
872425257 601 10
872425130 601 10
872425258 601 10
872425259 601 10
872425132 601 10
872425260 601 10
872425005 601 10
872425133 601 10
872425261 601 10
872425001 601 10
872425002 601 10
872425003 601 10
872425131 601 10
872425004 601 10
872425898 601 10
872426026 601 10
872426154 601 10
872426027 601 10
872426155 601 10
872426028 601 10
872426156 601 10
872425901 601 10
872426029 601 10
872426157 601 10
872425641 601 10
872425769 601 10
872425897 601 10
872426025 601 10
872426153 601 10
872425770 601 10
872425771 601 10
872425899 601 10
872425772 601 10
872425900 601 10
872425642 601 10
872425643 601 10
872425644 601 10
872425645 601 10
872425773 601 10
872426795 601 13
872426668 601 13
872426796 601 13
872426669 601 13
872426797 601 13
872426665 601 13
872426793 601 13
872426666 601 13
872426794 601 13
872426667 601 13
872426409 601 13
872426537 601 13
872426410 601 13
872426538 601 13
872426539 601 13
872426412 601 13
872426540 601 13
872426285 601 13
872426413 601 13
872426541 601 13
872426281 601 13
872426282 601 13
872426283 601 13
872426411 601 13
872426284 601 13
872427435 601 12
872427308 601 12
872427436 601 12
872427309 601 12
872427437 601 12
872427177 601 12
872427305 601 12
872427433 601 12
872427306 601 12
872427434 601 12
872427051 601 12
872427179 601 12
872427307 601 12
872427180 601 12
872427181 601 12
872426921 601 12
872427049 601 12
872426922 601 12
872427050 601 12
872427178 601 12
872426923 601 12
872426924 601 12
872427052 601 12
872426925 601 12
872427053 601 12
872427946 601 12
872428074 601 12
872428075 601 12
872428076 601 12
872428077 601 12
872427818 601 12
872427819 601 12
872427947 601 12
872427948 601 12
872427949 601 12
872427562 601 12
872427690 601 12
872427691 601 12
872427820 601 12
872427821 601 12
872427561 601 12
872427689 601 12
872427817 601 12
872427945 601 12
872428073 601 12
872427563 601 12
872427564 601 12
872427692 601 12
872427565 601 12
872427693 601 12
872424741 601 11
872424869 601 11
872424614 601 11
872424742 601 11
872424870 601 11
872424743 601 11
872424871 601 11
872424616 601 11
872424744 601 11
872424872 601 11
872424484 601 11
872424612 601 11
872424740 601 11
872424868 601 11
872424613 601 11
872424359 601 11
872424487 601 11
872424615 601 11
